Age_Group,Gender,Education,Income,Region,Social_Media_Time,Marketing_Channels,Products_Purchased,Likelihood_Try_New_Brand,Influencing_Factors,Purchase_Last_3mo,Referral_Willingness,Monthly_Online_Spend,Interest_Recommendation_Service,Comfort_Data_Personalization,Biggest_Challenge,Cart_Abandon_Freq,Campaign_Satisfaction,Tech_Attitude
35–44,Female,High school,164067.0,Central/Other,30–60 mins,"Email, Instagram, SMS",Electronics,Neutral,"Discounts/Offers, Personalization",No,Very unlikely,1133.0,,Neutral,"Others, Too many choices",Often,2.0,Open but cautious
18–24,Male,High school,10156.0,Central/Other,<30 mins,Email,Groceries,Unlikely,"Discounts/Offers, Friend recommendations",Yes,Neutral,613.0,No,Very comfortable,Not enough discounts,Often,5.0,Neutral
25–34,Female,High school,36185.0,North,30–60 mins,Other,Electronics,Unlikely,"Brand reputation, Product reviews",No,Very likely,979.0,Maybe,Neutral,"Complicated checkout, Not enough discounts, Too many choices",Sometimes,4.0,Skeptical
18–24,Male,Undergraduate,27967.0,South,,"Instagram, SMS",Apparel,Likely,"Friend recommendations, Product reviews",No,,365.0,Yes,Very comfortable,"Others, Too many choices",Sometimes,4.0,Skeptical
35–44,Male,Undergraduate,14581.0,Central/Other,30–60 mins,"Google Ads, SMS",Apparel,Very unlikely,"Personalization, Visual appeal",Yes,Unlikely,885.0,No,Comfortable,"Lack of trust, Others",Rarely,5.0,Neutral
Under 18,Male,High school,19258.0,Central/Other,30–60 mins,"Facebook, Google Ads, SMS",Electronics,Likely,"Friend recommendations, Visual appeal",Yes,Neutral,1599.0,No,Very comfortable,Too many choices,Rarely,2.0,Neutral
25–34,Male,Postgraduate,16392.0,East,1–2 hours,Instagram,Apparel,Neutral,"Discounts/Offers, Friend recommendations",Yes,Very likely,965.0,Maybe,Comfortable,"Others, Slow delivery, Too many choices",Often,1.0,Open but cautious
35–44,Female,Undergraduate,22160.0,Central/Other,2+ hours,"Facebook, Other, SMS",Groceries,Likely,"Friend recommendations, Visual appeal",Yes,Likely,929.0,Maybe,Uncomfortable,,Often,2.0,Open but cautious
45–54,Male,High school,19981.0,South,30–60 mins,"Instagram, Other, SMS",Electronics,Likely,"Brand reputation, Personalization",Yes,Neutral,1587.0,Maybe,Uncomfortable,"Lack of trust, Too many choices",Sometimes,1.0,Excited
25–34,Male,Undergraduate,9612.0,West,30–60 mins,,Groceries,Neutral,"Friend recommendations, Visual appeal",No,Neutral,1592.0,Yes,Neutral,"Not enough discounts, Slow delivery, Too many choices",Sometimes,5.0,Excited
45–54,Male,Undergraduate,11248.0,West,30–60 mins,Facebook,Services,Neutral,"Friend recommendations, Personalization",No,Neutral,308.0,No,Uncomfortable,"Complicated checkout, Lack of trust, Others",Never,3.0,Skeptical
18–24,Male,High school,34679.0,West,30–60 mins,"Email, Other",Services,Likely,"Brand reputation, Visual appeal",Yes,Very unlikely,1731.0,No,Neutral,"Lack of trust, Others",Never,1.0,Excited
45–54,Female,Undergraduate,54437.0,West,1–2 hours,"Facebook, SMS",Services,Very likely,"Brand reputation, Visual appeal",Yes,Likely,2324.0,Maybe,Neutral,Lack of trust,Sometimes,4.0,Excited
18–24,Female,Postgraduate,15830.0,East,1–2 hours,"Email, Instagram, Other",Apparel,Unlikely,"Brand reputation, Visual appeal",Yes,Likely,777.0,Yes,Very comfortable,Not enough discounts,Sometimes,4.0,Neutral
25–34,Non-binary/Other,Undergraduate,26773.0,Central/Other,30–60 mins,"Other, SMS",Apparel,Unlikely,"Brand reputation, Visual appeal",Yes,Very likely,823.0,Yes,Neutral,"Complicated checkout, Not enough discounts",Sometimes,4.0,Excited
35–44,Female,Undergraduate,21628.0,West,30–60 mins,"Email, Google Ads, Instagram",Apparel,Very likely,"Brand reputation, Personalization",Yes,Unlikely,994.0,Yes,Comfortable,"Complicated checkout, Not enough discounts, Too many choices",Never,2.0,Open but cautious
18–24,Male,Undergraduate,51665.0,North,<30 mins,SMS,Services,Neutral,"Brand reputation, Discounts/Offers",No,Very unlikely,537.0,Yes,Very comfortable,"Complicated checkout, Not enough discounts, Too many choices",Always,2.0,Open but cautious
18–24,Female,High school,48220.0,West,1–2 hours,"Instagram, Other, SMS",Other,Likely,"Discounts/Offers, Product reviews",No,Neutral,2078.0,Yes,Very comfortable,"Lack of trust, Others",Sometimes,2.0,Open but cautious
35–44,Male,High school,38370.0,Central/Other,<30 mins,Other,Services,Neutral,"Discounts/Offers, Personalization",Yes,Likely,2549.0,Maybe,Uncomfortable,"Lack of trust, Not enough discounts",Often,4.0,Neutral
35–44,Male,Undergraduate,29714.0,West,2+ hours,Email,Apparel,Unlikely,"Friend recommendations, Personalization",No,Likely,1840.0,No,Neutral,"Not enough discounts, Others",Sometimes,1.0,Open but cautious
35–44,Female,High school,48489.0,East,1–2 hours,"Email, Google Ads, Other",Services,Likely,"Personalization, Product reviews",Yes,Unlikely,306.0,Maybe,,"Slow delivery, Too many choices",Rarely,4.0,Open but cautious
35–44,Male,,14182.0,South,30–60 mins,Instagram,Electronics,Likely,"Brand reputation, Product reviews",No,Unlikely,692.0,Maybe,Neutral,Others,Often,1.0,Neutral
25–34,,Postgraduate,15403.0,South,1–2 hours,"Google Ads, Instagram",Apparel,Neutral,"Brand reputation, Product reviews",Yes,Neutral,790.0,Yes,Neutral,"Lack of trust, Not enough discounts, Too many choices",Sometimes,2.0,Open but cautious
25–34,Male,Other,10296.0,Central/Other,2+ hours,"Google Ads, Other",Electronics,Likely,"Discounts/Offers, Personalization",Yes,Neutral,923.0,No,Comfortable,"Complicated checkout, Not enough discounts, Slow delivery",Sometimes,3.0,Neutral
25–34,Female,Postgraduate,47165.0,South,1–2 hours,"Other, SMS",Apparel,Likely,"Personalization, Product reviews",No,Likely,1177.0,Yes,Neutral,"Lack of trust, Slow delivery, Too many choices",Sometimes,2.0,Skeptical
18–24,Female,Postgraduate,58982.0,South,30–60 mins,"Email, Other",Electronics,Likely,"Friend recommendations, Personalization",Yes,Neutral,1047.0,Maybe,Neutral,"Complicated checkout, Too many choices",Never,5.0,Open but cautious
45–54,Female,High school,8901.0,North,30–60 mins,"Google Ads, Other, SMS",Apparel,Unlikely,"Brand reputation, Visual appeal",No,Likely,1052.0,Yes,Very comfortable,"Not enough discounts, Others",Sometimes,1.0,Open but cautious
25–34,Female,Postgraduate,29291.0,Central/Other,2+ hours,"Facebook, Instagram, SMS",Electronics,Likely,"Discounts/Offers, Personalization",Yes,Neutral,1853.0,Yes,Very uncomfortable,Lack of trust,,3.0,Excited
25–34,Female,High school,13678.0,Central/Other,1–2 hours,"Google Ads, Instagram",Groceries,Likely,"Discounts/Offers, Friend recommendations",Yes,Likely,1478.0,Yes,Neutral,"Lack of trust, Others",Never,2.0,Neutral
25–34,Male,Postgraduate,10881.0,South,1–2 hours,"Facebook, Other, SMS",Services,Likely,"Brand reputation, Visual appeal",Yes,Neutral,,No,Comfortable,"Not enough discounts, Others",Rarely,3.0,Excited
45–54,Female,Other,89864.0,South,2+ hours,"Facebook, Instagram, Other",Groceries,Likely,"Discounts/Offers, Personalization",Yes,Likely,1633.0,Yes,Uncomfortable,"Complicated checkout, Not enough discounts, Too many choices",Always,4.0,Open but cautious
18–24,Male,Undergraduate,16867.0,South,2+ hours,Google Ads,Electronics,Unlikely,"Friend recommendations, Personalization",No,Unlikely,1223.0,Yes,Comfortable,Complicated checkout,Rarely,1.0,Skeptical
25–34,Female,Other,9526.0,East,2+ hours,"Facebook, SMS",Services,Likely,"Brand reputation, Personalization",Yes,Neutral,1657.0,Maybe,Uncomfortable,"Complicated checkout, Others",Sometimes,5.0,Open but cautious
25–34,Female,Undergraduate,21379.0,West,<30 mins,Facebook,Services,Likely,"Brand reputation, Friend recommendations",No,Unlikely,2362.0,Maybe,Very comfortable,"Complicated checkout, Others",Sometimes,4.0,Open but cautious
35–44,Female,Undergraduate,37633.0,East,1–2 hours,"Google Ads, Other",Apparel,Very unlikely,"Friend recommendations, Personalization",No,Neutral,1990.0,Yes,Neutral,Lack of trust,Sometimes,3.0,Neutral
Under 18,Male,Undergraduate,11735.0,Central/Other,1–2 hours,"Facebook, Instagram, Other",Electronics,Neutral,"Brand reputation, Product reviews",No,Neutral,481.0,No,Neutral,"Not enough discounts, Slow delivery, Too many choices",Sometimes,2.0,Open but cautious
45–54,Male,Undergraduate,25651.0,North,1–2 hours,"Facebook, SMS",Apparel,Neutral,"Brand reputation, Product reviews",Yes,Unlikely,1025.0,Maybe,Comfortable,"Complicated checkout, Slow delivery",Rarely,1.0,Neutral
45–54,Female,High school,32434.0,West,1–2 hours,"Email, Facebook, Other",Apparel,Likely,"Friend recommendations, Product reviews",No,Very likely,1387.0,Yes,Uncomfortable,"Complicated checkout, Not enough discounts, Slow delivery",Never,5.0,Neutral
25–34,Male,Undergraduate,9983.0,North,30–60 mins,"Instagram, Other, SMS",Groceries,Neutral,"Brand reputation, Product reviews",Yes,Unlikely,416.0,Maybe,Neutral,"Lack of trust, Others, Too many choices",Sometimes,2.0,Excited
35–44,Male,Other,9264.0,Central/Other,1–2 hours,"Facebook, Google Ads",Services,Likely,"Brand reputation, Personalization",Yes,Likely,1339.0,Yes,Neutral,"Complicated checkout, Lack of trust, Too many choices",Sometimes,5.0,Skeptical
45–54,Male,High school,27037.0,Central/Other,1–2 hours,"Email, Facebook",Apparel,Very likely,"Friend recommendations, Visual appeal",Yes,Very likely,1392.0,No,Neutral,"Lack of trust, Not enough discounts",Sometimes,1.0,Excited
35–44,Non-binary/Other,Postgraduate,18488.0,North,<30 mins,"Email, Facebook, Instagram",Services,Likely,"Personalization, Product reviews",Yes,Very unlikely,449.0,No,Neutral,"Slow delivery, Too many choices",Sometimes,3.0,Disinterested
18–24,Female,Postgraduate,57443.0,North,30–60 mins,"Facebook, Google Ads, Instagram",Services,Very likely,"Brand reputation, Visual appeal",Yes,Likely,989.0,No,Comfortable,Lack of trust,Rarely,5.0,Excited
25–34,Male,Postgraduate,58433.0,North,30–60 mins,SMS,Services,Very likely,"Discounts/Offers, Product reviews",No,Unlikely,1314.0,Maybe,Neutral,Slow delivery,Never,1.0,Open but cautious
35–44,Male,Postgraduate,82500.0,Central/Other,30–60 mins,"Facebook, SMS",Apparel,Very unlikely,"Product reviews, Visual appeal",Yes,Very unlikely,2334.0,Yes,Comfortable,"Complicated checkout, Lack of trust, Others",Often,5.0,Excited
25–34,Male,Undergraduate,16249.0,South,<30 mins,Email,Services,Likely,"Personalization, Visual appeal",Yes,Neutral,1068.0,Yes,Neutral,"Complicated checkout, Others",Sometimes,2.0,Excited
35–44,Female,Other,111629.0,North,30–60 mins,"Google Ads, Other, SMS",Apparel,Neutral,"Friend recommendations, Product reviews",No,Very likely,476.0,No,Uncomfortable,"Lack of trust, Not enough discounts, Others",,5.0,Neutral
45–54,Female,Postgraduate,16017.0,West,1–2 hours,Email,Electronics,Very likely,"Personalization, Visual appeal",Yes,Very unlikely,429.0,Maybe,Comfortable,"Not enough discounts, Others, Slow delivery",Rarely,2.0,Neutral
45–54,Male,High school,16604.0,Central/Other,1–2 hours,"Google Ads, Other, SMS",Apparel,Neutral,"Discounts/Offers, Product reviews",Yes,Neutral,825.0,Yes,Very comfortable,Too many choices,Never,2.0,Neutral
25–34,Male,Undergraduate,11197.0,East,1–2 hours,Email,Apparel,Very likely,"Brand reputation, Discounts/Offers",Yes,Neutral,1323.0,Maybe,Neutral,"Lack of trust, Not enough discounts",Rarely,1.0,Open but cautious
18–24,Male,Undergraduate,8490.0,East,2+ hours,"Facebook, Instagram",Groceries,Likely,"Discounts/Offers, Product reviews",No,Likely,1474.0,Yes,Neutral,"Complicated checkout, Slow delivery",Often,4.0,Open but cautious
55+,Female,High school,39938.0,West,30–60 mins,Other,Electronics,Likely,"Friend recommendations, Visual appeal",Yes,Very unlikely,501.0,Yes,Neutral,Too many choices,Always,5.0,Neutral
45–54,Female,Undergraduate,16441.0,South,<30 mins,Email,Apparel,Unlikely,"Friend recommendations, Visual appeal",Yes,Likely,1372.0,Maybe,Neutral,Slow delivery,Often,3.0,Open but cautious
18–24,Male,Undergraduate,18032.0,North,2+ hours,"Google Ads, Instagram, SMS",Apparel,Unlikely,"Discounts/Offers, Friend recommendations",Yes,Likely,222.0,Yes,Comfortable,"Lack of trust, Slow delivery, Too many choices",Always,2.0,Neutral
45–54,Male,High school,20221.0,Central/Other,30–60 mins,"Google Ads, Other",Groceries,Likely,"Discounts/Offers, Friend recommendations",No,Likely,759.0,No,Very uncomfortable,"Lack of trust, Not enough discounts",Always,4.0,Neutral
45–54,Male,Undergraduate,18035.0,North,2+ hours,"Facebook, Other",Apparel,Very unlikely,"Personalization, Visual appeal",No,Very likely,1354.0,Yes,Comfortable,"Complicated checkout, Lack of trust, Too many choices",Sometimes,2.0,Excited
25–34,Non-binary/Other,Postgraduate,24819.0,Central/Other,2+ hours,"Email, Google Ads, Other",Services,Likely,"Friend recommendations, Visual appeal",No,Likely,2037.0,Yes,Very uncomfortable,"Complicated checkout, Not enough discounts, Slow delivery",Rarely,4.0,Neutral
25–34,Male,Undergraduate,19193.0,East,1–2 hours,"Email, Google Ads, Other",Apparel,Very unlikely,"Personalization, Visual appeal",Yes,Very unlikely,375.0,No,Neutral,Too many choices,Often,4.0,Neutral
25–34,Female,High school,47350.0,North,2+ hours,"Email, Google Ads",Apparel,Likely,"Product reviews, Visual appeal",Yes,Neutral,1262.0,No,Comfortable,"Lack of trust, Slow delivery",Rarely,3.0,Neutral
18–24,Female,High school,45619.0,West,<30 mins,"Google Ads, Instagram",Electronics,Neutral,"Personalization, Product reviews",Yes,Neutral,885.0,Yes,Neutral,Too many choices,,4.0,Excited
25–34,Male,Undergraduate,14889.0,South,30–60 mins,"Email, Facebook, SMS",Electronics,Likely,"Brand reputation, Product reviews",Yes,Neutral,313.0,No,Uncomfortable,"Complicated checkout, Others, Slow delivery",Rarely,3.0,Open but cautious
45–54,Male,Postgraduate,13665.0,West,1–2 hours,"Other, SMS",Electronics,Likely,"Friend recommendations, Visual appeal",Yes,Neutral,420.0,Yes,Very comfortable,"Complicated checkout, Lack of trust, Too many choices",Sometimes,1.0,Open but cautious
Under 18,Male,High school,19210.0,South,30–60 mins,Facebook,Apparel,Neutral,"Personalization, Visual appeal",Yes,Neutral,1225.0,No,Very comfortable,"Lack of trust, Not enough discounts, Others",Rarely,2.0,Open but cautious
25–34,Female,Undergraduate,44577.0,North,,"Instagram, SMS",Other,Unlikely,"Discounts/Offers, Visual appeal",Yes,Neutral,2746.0,Maybe,Comfortable,"Complicated checkout, Others",Rarely,3.0,Open but cautious
25–34,Female,High school,14978.0,North,<30 mins,"Google Ads, Instagram, Other",Groceries,Unlikely,"Brand reputation, Friend recommendations",No,Very likely,1085.0,Maybe,Neutral,"Complicated checkout, Lack of trust",Sometimes,2.0,Skeptical
25–34,Female,Undergraduate,13872.0,South,1–2 hours,"Email, Google Ads",Apparel,Likely,"Friend recommendations, Visual appeal",Yes,Very unlikely,4080.0,Yes,Uncomfortable,Slow delivery,Often,5.0,Neutral
45–54,Female,Postgraduate,11819.0,East,1–2 hours,"Google Ads, Instagram",Electronics,Likely,"Personalization, Product reviews",No,Very likely,1553.0,Yes,Very comfortable,Not enough discounts,Sometimes,1.0,Open but cautious
25–34,Male,Undergraduate,19016.0,Central/Other,1–2 hours,"Email, Facebook, Google Ads",Services,Likely,"Friend recommendations, Product reviews",Yes,Neutral,647.0,Maybe,Neutral,"Complicated checkout, Lack of trust, Others",Often,5.0,Open but cautious
25–34,Non-binary/Other,High school,13463.0,West,30–60 mins,"Facebook, Google Ads, Other",Apparel,Likely,"Brand reputation, Product reviews",Yes,Neutral,1737.0,No,Very comfortable,Complicated checkout,Rarely,5.0,Skeptical
35–44,Female,Undergraduate,55906.0,West,30–60 mins,SMS,Apparel,Neutral,"Brand reputation, Discounts/Offers",Yes,Likely,485.0,No,Neutral,Too many choices,Rarely,4.0,Excited
25–34,Male,High school,12345.0,West,2+ hours,"Facebook, Instagram, Other",Groceries,Neutral,"Friend recommendations, Visual appeal",,Neutral,1155.0,Maybe,Neutral,"Lack of trust, Not enough discounts",Sometimes,4.0,Neutral
18–24,Non-binary/Other,Undergraduate,12045.0,North,30–60 mins,Instagram,Groceries,Very unlikely,"Brand reputation, Visual appeal",Yes,Neutral,1167.0,Yes,Very comfortable,"Complicated checkout, Lack of trust, Not enough discounts",Sometimes,5.0,Disinterested
25–34,Female,Undergraduate,47814.0,West,2+ hours,"Email, Google Ads, SMS",Electronics,Neutral,"Discounts/Offers, Visual appeal",Yes,Neutral,1150.0,No,Neutral,"Complicated checkout, Others, Too many choices",Sometimes,4.0,Neutral
18–24,Female,High school,42069.0,Central/Other,1–2 hours,"Facebook, Google Ads",Apparel,Very likely,"Personalization, Product reviews",No,Neutral,456.0,Maybe,Uncomfortable,Complicated checkout,Often,2.0,Disinterested
18–24,Female,,17754.0,Central/Other,1–2 hours,Facebook,Apparel,Very likely,"Discounts/Offers, Product reviews",No,Very likely,130.0,No,Uncomfortable,Not enough discounts,Often,4.0,Neutral
25–34,Female,Undergraduate,19238.0,South,1–2 hours,"Google Ads, Instagram",Groceries,Neutral,"Discounts/Offers, Friend recommendations",Yes,Likely,1663.0,Yes,Neutral,"Complicated checkout, Lack of trust, Others",Always,5.0,Excited
25–34,Female,Postgraduate,17984.0,North,30–60 mins,"Facebook, Other",Apparel,Likely,"Discounts/Offers, Product reviews",No,Unlikely,901.0,Yes,Very uncomfortable,"Complicated checkout, Not enough discounts, Slow delivery",Sometimes,4.0,Excited
45–54,Male,Other,46192.0,Central/Other,1–2 hours,"Email, Other, SMS",Electronics,Likely,"Brand reputation, Visual appeal",No,Unlikely,1317.0,Yes,Neutral,Too many choices,Rarely,4.0,Open but cautious
25–34,Male,High school,9514.0,East,2+ hours,"Facebook, Other",Electronics,Neutral,"Brand reputation, Product reviews",No,Neutral,2297.0,Maybe,Neutral,"Not enough discounts, Others, Too many choices",Sometimes,3.0,Excited
25–34,Female,Postgraduate,58983.0,North,30–60 mins,"Email, Google Ads, SMS",Apparel,Very unlikely,"Brand reputation, Personalization",No,Very unlikely,1328.0,Yes,Comfortable,Complicated checkout,Rarely,3.0,Neutral
35–44,Male,Undergraduate,34623.0,North,2+ hours,"Facebook, Google Ads",Services,Unlikely,"Discounts/Offers, Friend recommendations",Yes,Neutral,479.0,Yes,Neutral,"Others, Slow delivery",Rarely,5.0,Open but cautious
Under 18,Male,Undergraduate,21002.0,Central/Other,30–60 mins,"Other, SMS",Services,Likely,"Product reviews, Visual appeal",Yes,Unlikely,932.0,Maybe,Very comfortable,"Others, Slow delivery, Too many choices",Rarely,2.0,Skeptical
35–44,Male,Postgraduate,9033.0,East,<30 mins,"Email, Facebook, Other",Groceries,Very likely,"Personalization, Product reviews",Yes,Neutral,968.0,Yes,Uncomfortable,"Others, Slow delivery",Sometimes,1.0,Open but cautious
18–24,Male,Postgraduate,18686.0,South,30–60 mins,"Google Ads, SMS",Apparel,Likely,"Personalization, Visual appeal",Yes,Very unlikely,2117.0,Yes,Comfortable,"Complicated checkout, Not enough discounts",Rarely,1.0,Open but cautious
55+,Female,Postgraduate,14041.0,Central/Other,2+ hours,Google Ads,Apparel,Unlikely,"Personalization, Visual appeal",Yes,Neutral,329.0,Yes,Uncomfortable,"Lack of trust, Not enough discounts, Too many choices",Never,5.0,Disinterested
18–24,Female,Undergraduate,10803.0,East,30–60 mins,"Google Ads, Instagram",Electronics,Unlikely,"Personalization, Visual appeal",Yes,Likely,1349.0,Yes,Comfortable,"Lack of trust, Not enough discounts, Others",Sometimes,2.0,Open but cautious
25–34,Male,Undergraduate,24477.0,North,2+ hours,"Facebook, Instagram, SMS",Apparel,Likely,"Personalization, Visual appeal",No,Neutral,533.0,No,Very comfortable,"Complicated checkout, Not enough discounts, Others",Sometimes,2.0,Neutral
18–24,Male,Postgraduate,90025.0,East,2+ hours,"Google Ads, Instagram, SMS",Other,Likely,"Friend recommendations, Product reviews",No,Very likely,754.0,Maybe,Comfortable,Too many choices,Sometimes,2.0,Neutral
55+,Male,Undergraduate,36863.0,North,30–60 mins,Other,Apparel,Likely,"Discounts/Offers, Product reviews",No,Likely,1640.0,Maybe,Neutral,"Others, Slow delivery",Sometimes,3.0,Open but cautious
25–34,Female,Undergraduate,20516.0,Central/Other,<30 mins,"Email, Instagram, SMS",Electronics,Likely,"Friend recommendations, Product reviews",No,Neutral,1209.0,No,Neutral,"Lack of trust, Not enough discounts",Rarely,5.0,Open but cautious
25–34,Female,Undergraduate,8190.0,Central/Other,1–2 hours,"Email, Facebook, Other",Electronics,Very unlikely,"Brand reputation, Friend recommendations",No,Very unlikely,1069.0,Yes,Comfortable,Not enough discounts,Rarely,1.0,Open but cautious
18–24,Male,Undergraduate,13192.0,West,30–60 mins,"Email, Google Ads, Other",Groceries,Likely,"Discounts/Offers, Personalization",Yes,Likely,929.0,No,Very comfortable,Lack of trust,Rarely,2.0,Neutral
35–44,Female,High school,11592.0,West,1–2 hours,"Google Ads, Other, SMS",Apparel,Likely,"Friend recommendations, Visual appeal",Yes,Very likely,1618.0,Yes,Very comfortable,"Not enough discounts, Others",Often,,Neutral
18–24,Female,High school,,West,30–60 mins,"Instagram, SMS",Electronics,Neutral,"Discounts/Offers, Personalization",Yes,Likely,842.0,Yes,Neutral,"Not enough discounts, Others",Sometimes,1.0,Open but cautious
45–54,Female,Postgraduate,53449.0,Central/Other,30–60 mins,Other,Apparel,Likely,"Friend recommendations, Product reviews",No,Unlikely,734.0,Maybe,Very comfortable,"Not enough discounts, Others, Slow delivery",Rarely,3.0,Neutral
18–24,Female,High school,26298.0,South,1–2 hours,Other,Services,Neutral,"Friend recommendations, Product reviews",Yes,Very likely,1779.0,Yes,Uncomfortable,"Lack of trust, Not enough discounts",Rarely,4.0,Open but cautious
18–24,Male,Undergraduate,9411.0,,30–60 mins,"Email, Instagram, Other",Apparel,Very unlikely,"Discounts/Offers, Personalization",No,Unlikely,128.0,Yes,Neutral,"Complicated checkout, Lack of trust, Others",Always,1.0,Neutral
Under 18,Female,High school,15281.0,East,30–60 mins,Instagram,Services,Neutral,"Brand reputation, Product reviews",,Likely,522.0,No,Uncomfortable,Lack of trust,Sometimes,1.0,Skeptical
25–34,Male,High school,36656.0,Central/Other,30–60 mins,SMS,Services,Unlikely,"Brand reputation, Product reviews",Yes,Very likely,661.0,No,Neutral,Too many choices,Often,1.0,Skeptical
25–34,Female,High school,12143.0,Central/Other,30–60 mins,"Instagram, SMS",Apparel,Neutral,"Product reviews, Visual appeal",No,Unlikely,1846.0,Yes,Comfortable,Lack of trust,Rarely,4.0,Neutral
18–24,Female,High school,46009.0,North,1–2 hours,SMS,Groceries,Neutral,"Brand reputation, Friend recommendations",Yes,Very likely,1172.0,Yes,Very comfortable,Complicated checkout,Rarely,2.0,Open but cautious
35–44,Female,Postgraduate,47988.0,North,2+ hours,,Apparel,Likely,"Brand reputation, Product reviews",Yes,Neutral,497.0,Yes,Comfortable,"Complicated checkout, Lack of trust",Often,4.0,Disinterested
25–34,Female,Undergraduate,23333.0,North,30–60 mins,"Email, Facebook, Instagram",Other,Likely,"Friend recommendations, Personalization",Yes,Very likely,471.0,No,Comfortable,"Complicated checkout, Too many choices",Sometimes,1.0,Open but cautious
25–34,Male,Postgraduate,12788.0,,1–2 hours,Other,Electronics,Neutral,"Brand reputation, Product reviews",Yes,Unlikely,1875.0,Yes,Neutral,Complicated checkout,Sometimes,3.0,Neutral
25–34,Female,Undergraduate,18223.0,South,1–2 hours,SMS,Apparel,Very unlikely,"Brand reputation, Visual appeal",No,Very likely,472.0,No,Comfortable,"Others, Slow delivery",Sometimes,1.0,Excited
,Prefer not to say,Undergraduate,9681.0,East,30–60 mins,Email,Electronics,Likely,"Discounts/Offers, Product reviews",Yes,Very unlikely,716.0,No,Neutral,"Complicated checkout, Others",Sometimes,3.0,Disinterested
25–34,Female,Undergraduate,12623.0,East,30–60 mins,"Email, Facebook",Apparel,Neutral,"Friend recommendations, Personalization",Yes,Likely,826.0,Maybe,Comfortable,Others,Sometimes,5.0,Neutral
18–24,Male,Undergraduate,15842.0,South,2+ hours,"Email, Instagram, Other",Other,Neutral,"Brand reputation, Friend recommendations",Yes,Neutral,1431.0,Yes,Comfortable,Too many choices,Rarely,3.0,Neutral
18–24,Male,Postgraduate,23677.0,South,1–2 hours,Facebook,Apparel,Very likely,"Brand reputation, Discounts/Offers",No,Neutral,,Yes,Comfortable,"Lack of trust, Too many choices",Sometimes,1.0,Excited
45–54,Male,Undergraduate,22573.0,East,1–2 hours,"Google Ads, Other",Groceries,Likely,"Brand reputation, Discounts/Offers",Yes,Unlikely,420.0,No,Neutral,"Lack of trust, Others",Often,4.0,Neutral
45–54,Female,Undergraduate,10819.0,West,1–2 hours,"Facebook, Instagram, Other",Electronics,Very likely,"Brand reputation, Friend recommendations",No,Likely,1502.0,Maybe,Very comfortable,"Lack of trust, Not enough discounts, Slow delivery",Rarely,1.0,Neutral
25–34,Female,Postgraduate,17034.0,North,<30 mins,"Instagram, Other",Services,Likely,"Discounts/Offers, Visual appeal",No,Unlikely,1483.0,Yes,Neutral,"Lack of trust, Slow delivery, Too many choices",Sometimes,1.0,Neutral
25–34,Male,Postgraduate,11692.0,North,1–2 hours,"Email, SMS",Apparel,Unlikely,"Brand reputation, Discounts/Offers",Yes,Neutral,2440.0,No,Neutral,"Lack of trust, Too many choices",Sometimes,5.0,Open but cautious
35–44,Female,Postgraduate,11401.0,East,1–2 hours,Other,Electronics,Likely,"Brand reputation, Product reviews",No,Unlikely,1236.0,Yes,Comfortable,"Others, Too many choices",Always,2.0,Open but cautious
25–34,Female,Undergraduate,51453.0,South,1–2 hours,"Email, Google Ads",Electronics,Neutral,"Friend recommendations, Product reviews",No,Very likely,458.0,Yes,Neutral,"Not enough discounts, Too many choices",Sometimes,1.0,Excited
Under 18,Female,Postgraduate,9118.0,West,30–60 mins,"Google Ads, Instagram, SMS",Groceries,Neutral,"Friend recommendations, Product reviews",Yes,Very unlikely,2376.0,No,Very comfortable,"Complicated checkout, Others, Too many choices",Sometimes,5.0,Open but cautious
18–24,Female,Undergraduate,16713.0,East,<30 mins,"Email, Google Ads, SMS",Apparel,Unlikely,"Discounts/Offers, Friend recommendations",Yes,,824.0,Yes,Neutral,"Slow delivery, Too many choices",Often,4.0,Open but cautious
35–44,Female,Undergraduate,9031.0,North,30–60 mins,"Instagram, SMS",Apparel,Likely,"Discounts/Offers, Friend recommendations",No,Unlikely,1699.0,Maybe,Neutral,"Lack of trust, Too many choices",Often,5.0,Open but cautious
35–44,Female,High school,40067.0,Central/Other,2+ hours,"Instagram, SMS",Apparel,Unlikely,"Discounts/Offers, Personalization",No,Neutral,2331.0,No,Very comfortable,Complicated checkout,Sometimes,5.0,Excited
Under 18,Male,Undergraduate,35856.0,South,30–60 mins,Google Ads,Groceries,Very likely,"Brand reputation, Visual appeal",Yes,Unlikely,1121.0,No,Neutral,"Complicated checkout, Others, Slow delivery",Sometimes,3.0,Open but cautious
18–24,Female,High school,16287.0,Central/Other,30–60 mins,"Facebook, Google Ads",Apparel,Very likely,"Discounts/Offers, Product reviews",Yes,Neutral,1042.0,Yes,Neutral,"Not enough discounts, Slow delivery, Too many choices",Rarely,2.0,Excited
18–24,Female,Undergraduate,27534.0,East,<30 mins,"Email, Google Ads",Electronics,Likely,"Brand reputation, Visual appeal",No,Likely,1239.0,No,Neutral,"Slow delivery, Too many choices",Sometimes,2.0,Skeptical
35–44,Female,Postgraduate,35104.0,North,<30 mins,Other,Apparel,Likely,"Brand reputation, Product reviews",No,Likely,1373.0,Yes,Neutral,"Not enough discounts, Slow delivery",Often,4.0,Open but cautious
